VSL_NO,TRNNG_SHP_NAME,LA,LO,SHIP_SPD,RL_PRGS_DRCN,SH_AGL,MSRM_DTM
441273000,HANNARA,34.99942,129.111458,12.8,234.5,232.6,12-Sep-2021 14:40:00
441273000,HANNARA,34.99779333,129.110515,12.8,234.5,232.6,12-Sep-2021 14:41:00
441273000,HANNARA,34.99382,129.108758,12.9,234.5,232.6,12-Sep-2021 14:42:00
441273000,HANNARA,34.99029833,129.107182,13.0,234.5,232.6,12-Sep-2021 14:43:00
441273000,HANNARA,34.98942,129.106663,13.0,234.5,232.6,12-Sep-2021 14:44:00
441273000,HANNARA,34.98375667,129.104,13.0,234.5,232.6,12-Sep-2021 14:45:00
441273000,HANNARA,34.98013167,129.102222,13.2,234.5,232.6,12-Sep-2021 14:46:00
441273000,HANNARA,34.97816833,129.101533,13.1,234.5,232.6,12-Sep-2021 14:47:00
441273000,HANNARA,34.97325,129.09904,13.0,234.5,232.6,12-Sep-2021 14:48:00
441273000,HANNARA,34.96989,129.097505,13.0,234.5,232.6,12-Sep-2021 14:49:00
441273000,HANNARA,34.96668333,129.096133,13.0,234.5,232.6,12-Sep-2021 14:50:00
441273000,HANNARA,34.96414167,129.095005,13.0,234.5,232.6,12-Sep-2021 14:51:00
441273000,HANNARA,34.95972167,129.093007,13.0,234.5,232.6,12-Sep-2021 14:52:00
441273000,HANNARA,34.95672167,129.091473,12.9,234.5,232.6,12-Sep-2021 14:53:00
441273000,HANNARA,34.95333833,129.088932,12.6,234.5,232.6,12-Sep-2021 14:54:00
441273000,HANNARA,34.95028,129.086595,12.9,234.5,232.6,12-Sep-2021 14:55:00
441273000,HANNARA,34.947235,129.084418,12.8,234.5,232.6,12-Sep-2021 14:56:00
441273000,HANNARA,34.94534667,129.083133,12.9,234.5,232.6,12-Sep-2021 14:57:00
441273000,HANNARA,34.9424,129.080823,13.0,234.5,232.6,12-Sep-2021 14:58:00
441273000,HANNARA,34.937215,129.076747,13.3,234.5,232.6,12-Sep-2021 14:59:00
441273000,HANNARA,34.93424667,129.074612,13.2,234.5,232.6,12-Sep-2021 15:00:00
441273000,HANNARA,34.93111,129.072163,13.2,234.5,232.6,12-Sep-2021 15:01:00
441273000,HANNARA,34.927955,129.069678,13.4,234.5,232.6,12-Sep-2021 15:02:00
441273000,HANNARA,34.92472833,129.067142,13.4,234.5,232.6,12-Sep-2021 15:03:00
441273000,HANNARA,34.92161,129.064638,13.4,234.5,232.6,12-Sep-2021 15:04:00
441273000,HANNARA,34.91899833,129.062652,13.4,234.5,232.6,12-Sep-2021 15:05:00
441273000,HANNARA,34.916085,129.060583,13.3,234.5,232.6,12-Sep-2021 15:06:00
441273000,HANNARA,34.914295,129.059078,13.3,234.5,232.6,12-Sep-2021 15:07:00
441273000,HANNARA,34.90971833,129.055623,13.4,234.5,232.6,12-Sep-2021 15:08:00
441273000,HANNARA,34.90685,129.053525,13.4,234.5,232.6,12-Sep-2021 15:09:00
